Категория;Секция;Подкатегория;Услуга;Описание;HTML_Opis;Цена;Срок выполнения;Примечания;Ссылка
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Wymiana rolek ADF (Zmniejsza zaciągnięcia);Naprawa specjalistycznych drukarek igłowych.;<p>Wymiana rolek ADF (Zmniejsza zaciągnięcia)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;120 / 170 / 220;1-3 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Czyszczenie toru ADF (Usuwa zaciągnięcia);Naprawa specjalistycznych drukarek igłowych.;<p>Czyszczenie toru ADF (Usuwa zaciągnięcia)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;80 / 120 / 160;1-2 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Kalibracja ADF (Wyrównuje skos);Naprawa specjalistycznych drukarek igłowych.;<p>Kalibracja ADF (Wyrównuje skos)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;70 / 110 / 150;1-2 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Naprawa czujników ADF (Usuwa błędy);Naprawa specjalistycznych drukarek igłowych.;<p>Naprawa czujników ADF (Usuwa błędy)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;90 / 140 / 190;1-3 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Wymiana paska ADF (Przywraca płynny ruch);Naprawa specjalistycznych drukarek igłowych.;<p>Wymiana paska ADF (Przywraca płynny ruch)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;140 / 190 / 240;1-3 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Diagnostyka CIS/CCD (Weryfikacja modułu);Naprawa specjalistycznych drukarek igłowych.;<p>Diagnostyka CIS/CCD (Weryfikacja modułu)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;60 / 90 / 120;1 dzień;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Wymiana modułu CIS/CCD (Przywraca jakość);Naprawa specjalistycznych drukarek igłowych.;<p>Wymiana modułu CIS/CCD (Przywraca jakość)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;220 / 290 / 360;2-5 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Wymiana szkła skanera (Gdy pęknięte);Naprawa specjalistycznych drukarek igłowych.;<p>Wymiana szkła skanera (Gdy pęknięte)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;150 / 200 / 250;2-5 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Instalacja sterowników (Konfiguracja sieci);Naprawa specjalistycznych drukarek igłowych.;<p>Instalacja sterowników (Konfiguracja sieci)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;50 / 100 / 150;1-2 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Instalacja aplikacji mobilnych (Drukowanie ze smartfona);Naprawa specjalistycznych drukarek igłowych.;<p>Instalacja aplikacji mobilnych (Drukowanie ze smartfona)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;50 / 80 / 110;1 dzień;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Aktualizacja firmware (Usuwa błędy);Naprawa specjalistycznych drukarek igłowych.;<p>Aktualizacja firmware (Usuwa błędy)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;80 / 120 / 160;1-2 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Reset liczników serwisowych (Odblokowuje funkcje);Naprawa specjalistycznych drukarek igłowych.;<p>Reset liczników serwisowych (Odblokowuje funkcje)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;60 / 90 / 120;1 dzień;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Przywrócenie ustawień fabrycznych (Rozwiązuje problemy);Naprawa specjalistycznych drukarek igłowych.;<p>Przywrócenie ustawień fabrycznych (Rozwiązuje problemy)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;60 / 90 / 120;1 dzień;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Usunięcie błędów systemowych (Drukarka wraca do pracy);Naprawa specjalistycznych drukarek igłowych.;<p>Usunięcie błędów systemowych (Drukarka wraca do pracy)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;80 / 120 / 160;1-2 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Usuwanie konfliktów sterowników (Przywraca komunikację);Naprawa specjalistycznych drukarek igłowych.;<p>Usuwanie konfliktów sterowników (Przywraca komunikację)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;50 / 80 / 110;1 dzień;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Konfiguracja skanowania do komputera (SMB/FTP);Naprawa specjalistycznych drukarek igłowych.;<p>Konfiguracja skanowania do komputera (SMB/FTP)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;70 / 110 / 150;1-2 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Konfiguracja skanowania do e-mail (SMTP/Cloud);Naprawa specjalistycznych drukarek igłowych.;<p>Konfiguracja skanowania do e-mail (SMTP/Cloud)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;100 / 150 / 200;1-2 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Konfiguracja panelu webowego (Ustawienia sieci);Naprawa specjalistycznych drukarek igłowych.;<p>Konfiguracja panelu webowego (Ustawienia sieci)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;60 / 100 / 140;1 dzień;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Migracja drukarki (Nowy komputer);Naprawa specjalistycznych drukarek igłowych.;<p>Migracja drukarki (Nowy komputer)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;80 / 120 / 160;1 dzień;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Zabezpieczenie dostępu (PIN/hasło);Naprawa specjalistycznych drukarek igłowych.;<p>Zabezpieczenie dostępu (PIN/hasło)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;60 / 90 / 120;1 dzień;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Szkolenie użytkownika (Podstawowa obsługa);Naprawa specjalistycznych drukarek igłowych.;<p>Szkolenie użytkownika (Podstawowa obsługa)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;30 / 50 / 70;Na życzenie;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Wsparcie zdalne (Konfiguracja/diagnostyka);Naprawa specjalistycznych drukarek igłowych.;<p>Wsparcie zdalne (Konfiguracja/diagnostyka)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;120 zł/godz;1-2 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Usługi dodatkowe;Czyszczenie po silnym zalaniu tonerem (Pełna dekontaminacja);Naprawa specjalistycznych drukarek igłowych.;<p>Czyszczenie po silnym zalaniu tonerem (Pełna dekontaminacja)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;200 / 280 / 360;1-3 dni;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Usługi dodatkowe;Ocena stanu urządzenia przed zakupem (Ekspertyza);Naprawa specjalistycznych drukarek igłowych.;<p>Ocena stanu urządzenia przed zakupem (Ekspertyza)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;40 / 60 / 80;1 dzień;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Usługi dodatkowe;Drukarka zastępcza (Na czas naprawy);Naprawa specjalistycznych drukarek igłowych.;<p>Drukarka zastępcza (Na czas naprawy)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;Link;-;;
Serwis Drukarek Igłowych;Naprawy i usługi serwisowe (opcjonalne);Usługi dodatkowe;Odnowienie obudowy (Bielenie UV);Naprawa specjalistycznych drukarek igłowych.;<p>Odnowienie obudowy (Bielenie UV)</p><br><p>Naprawa specjalistycznych drukarek igłowych.</p>;70 / 90 / 120;1-5 dni;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Czy warto naprawiać, czy lepiej kupić nowe?;Czy warto naprawiać, czy lepiej kupić nowe?;To zależy od usterki i dostępności części. Zawsze wykonujemy bezpłatną diagnozę wstępną i informujemy, czy naprawa jest opłacalna. Jeżeli naprawa się nie opłaca – powiemy to otwarcie.;<p>To zależy od usterki i dostępności części. Zawsze wykonujemy bezpłatną diagnozę wstępną i informujemy, czy naprawa jest opłacalna. Jeżeli naprawa się nie opłaca – powiemy to otwarcie.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Jak wygląda proces naprawy?;Jak wygląda proces naprawy?;Najpierw przeprowadzamy szybką diagnostykę, przygotowujemy wycenę, a po jej akceptacji przystępujemy do naprawy. W razie potrzeby zamawiamy niezbędne części i informujemy o czasie realizacji.;<p>Najpierw przeprowadzamy szybką diagnostykę, przygotowujemy wycenę, a po jej akceptacji przystępujemy do naprawy. W razie potrzeby zamawiamy niezbędne części i informujemy o czasie realizacji.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Ile trwa naprawa?;Ile trwa naprawa?;"Typowo 1–3 dni robocze. Gdy trzeba zamówić części lub usterka jest złożona (np. płyta główna), czas może być dłuższy; na bieżąco informujemy o statusie.";"<p>Typowo 1–3 dni robocze. Gdy trzeba zamówić części lub usterka jest złożona (np. płyta główna), czas może być dłuższy; na bieżąco informujemy o statusie.</p>";;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Czy oferujecie dojazd do Klienta? Czy mogę samodzielnie dostarczyć urządzenie do naprawy?;Czy oferujecie dojazd do Klienta? Czy mogę samodzielnie dostarczyć urządzenie do naprawy?;Tak, świadczymy usługi serwisowe we Wrocławiu i okolicach.  Dojazd serwisanta i diagnoza są GRATIS, jeśli Klient akceptuje zaproponowany koszt naprawy. W przypadku prostych usterek możemy naprawić urządzenie na miejscu, a jeśli zajdzie taka potrzeba – zabierzemy je do naszego serwisu.  W przypadku rezygnacji z naprawy koszt wizyty wynosi 50 zł brutto (czas + dojazd serwisanta).  Oczywiście mogą Państwo również samodzielnie dostarczyć urządzenie do naszej siedziby we Wrocławiu. Na miejscu zapewniamy kompleksową, szybką i bezpłatną diagnostykę w obecności Klienta, miłe przywitanie oraz darmową kawę lub herbatę.;<p>Tak, świadczymy usługi serwisowe we Wrocławiu i okolicach.</p><br><p>Dojazd serwisanta i diagnoza są GRATIS, jeśli Klient akceptuje zaproponowany koszt naprawy. W przypadku prostych usterek możemy naprawić urządzenie na miejscu, a jeśli zajdzie taka potrzeba – zabierzemy je do naszego serwisu.</p><br><p>W przypadku rezygnacji z naprawy koszt wizyty wynosi 50 zł brutto (czas + dojazd serwisanta).</p><br><p>Oczywiście mogą Państwo również samodzielnie dostarczyć urządzenie do naszej siedziby we Wrocławiu. Na miejscu zapewniamy kompleksową, szybką i bezpłatną diagnostykę w obecności Klienta, miłe przywitanie oraz darmową kawę lub herbatę.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Czy mogę dostarczyć urządzenie kurierem?;Czy mogę dostarczyć urządzenie kurierem?;Tak. Otrzymasz od nas instrukcję bezpiecznego pakowania.  Po naprawie odeślemy urządzenie do Ciebie.;<p>Tak. Otrzymasz od nas instrukcję bezpiecznego pakowania.</p><br><p>Po naprawie odeślemy urządzenie do Ciebie.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Czy naprawa wpływa na gwarancję producenta?;Czy naprawa wpływa na gwarancję producenta?;Jeżeli naprawa wymaga działań naruszających warunki gwarancji — poinformujemy Cię o tym przed jej wykonaniem.;<p>Jeżeli naprawa wymaga działań naruszających warunki gwarancji — poinformujemy Cię o tym przed jej wykonaniem.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Czy udzielacie gwarancji na naprawy?;Czy udzielacie gwarancji na naprawy?;Tak. **3–12 miesięcy**, w zależności od rodzaju naprawy i wymienionych części.;<p>Tak. <strong>3–12 miesięcy</strong>, w zależności od rodzaju naprawy i wymienionych części.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Czy naprawiacie komputery / drukarki wszystkich marek?;Czy naprawiacie komputery / drukarki wszystkich marek?;Tak. Naprawiamy m.in. HP, Dell, Lenovo, ASUS, Acer, MSI, Apple i inne.;<p>Tak. Naprawiamy m.in. HP, Dell, Lenovo, ASUS, Acer, MSI, Apple i inne.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Czy oferujecie drukarkę zastępczą na czas naprawy?;Czy oferujecie drukarkę zastępczą na czas naprawy?;Tak. W razie potrzeby zapewniamy drukarkę zastępczą — bez przestoju w pracy.;<p>Tak. W razie potrzeby zapewniamy drukarkę zastępczą — bez przestoju w pracy.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Czy utracę dane?;Czy utracę dane?;Nie — w naprawach systemowych i mechanicznych chronimy dane. Przy operacjach ryzykownych (np. wymiana dysku, reinstalacja po awarii) proponujemy backup lub odzysk danych przed pracami.;<p>Nie — w naprawach systemowych i mechanicznych chronimy dane. Przy operacjach ryzykownych (np. wymiana dysku, reinstalacja po awarii) proponujemy backup lub odzysk danych przed pracami.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Czy odzyskacie dane po awarii?;Czy odzyskacie dane po awarii?;Tak — od prostych przypadków (logiczne uszkodzenia) po bardziej złożone (nośnik uszkodzony). Zawsze informujemy o szansach i kosztach przed startem prac.;<p>Tak — od prostych przypadków (logiczne uszkodzenia) po bardziej złożone (nośnik uszkodzony). Zawsze informujemy o szansach i kosztach przed startem prac.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);Czy naprawiacie po zalaniu?;Czy naprawiacie po zalaniu?;Tak. Wykonujemy mycie płyty w myjce ultradźwiękowej, usuwamy korozję, wymieniamy uszkodzone elementy. Czas i koszt zależą od skali, im szybciej sprzęt trafi do serwisu, tym większa szansa powodzenia.;<p>Tak. Wykonujemy mycie płyty w myjce ultradźwiękowej, usuwamy korozję, wymieniamy uszkodzone elementy. Czas i koszt zależą od skali, im szybciej sprzęt trafi do serwisu, tym większa szansa powodzenia.</p>;;;;
Serwis Drukarek Igłowych;Najczęściej zadawane pytania (FAQ);To ceny brutto czy netto?;To ceny brutto czy netto?;Wszystkie podane ceny są **brutto (z VAT)**.;<p>Wszystkie podane ceny są <strong>brutto (z VAT)</strong>.</p>;;;;
Serwis Ploterów;Diagnoza i wycena;;Wstępna diagnoza i wycena online (Opis problemu przez WhatsApp/stronę internetową/telefon - pomożemy ustalić, czy naprawa się opłaca);Serwis i konserwacja ploterów wielkoformatowych.;<p>Wstępna diagnoza i wycena online (Opis problemu przez WhatsApp/stronę internetową/telefon - pomożemy ustalić, czy naprawa się opłaca)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;GRATIS;15 min;GRATIS;
Serwis Ploterów;Diagnoza i wycena;;Diagnoza i wycena naprawy (przy dostawie do serwisu) (również w razie rezygnacji z naprawy);Serwis i konserwacja ploterów wielkoformatowych.;<p>Diagnoza i wycena naprawy (przy dostawie do serwisu) (również w razie rezygnacji z naprawy)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;GRATIS;24 h;GRATIS;
Serwis Ploterów;Diagnoza i wycena;;Diagnoza i wycena w formie pisemnej (bez naprawy, np. dla ubezpieczyciela);Serwis i konserwacja ploterów wielkoformatowych.;<p>Diagnoza i wycena w formie pisemnej (bez naprawy, np. dla ubezpieczyciela)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;50 / 70 / 90;1-3 dni;GRATIS;
Serwis Ploterów;Diagnoza i wycena;;Usługi w trybie ekspresowym (do 24 godzin, stawka z cennika);Serwis i konserwacja ploterów wielkoformatowych.;<p>Usługi w trybie ekspresowym (do 24 godzin, stawka z cennika)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;+ 100% do ceny;24 h;GRATIS;
Serwis Ploterów;Dojazd;;Dojazd (przy zleceniu naprawy) (Wrocław do 10 km, w tym diagnoza);Serwis i konserwacja ploterów wielkoformatowych.;<p>Dojazd (przy zleceniu naprawy) (Wrocław do 10 km, w tym diagnoza)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;GRATIS;1-3 dni;GRATIS;
Serwis Ploterów;Dojazd;;Dojazd (przy rezygnacji z naprawy) (Wrocław do 10 km, diagnoza + naprawy do 15 min);Serwis i konserwacja ploterów wielkoformatowych.;<p>Dojazd (przy rezygnacji z naprawy) (Wrocław do 10 km, diagnoza + naprawy do 15 min)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;50 / 80 / 100;1-3 dni;GRATIS;
Serwis Ploterów;Dojazd;;Dojazd (powyżej 10 km) (liczony w obie strony);Serwis i konserwacja ploterów wielkoformatowych.;<p>Dojazd (powyżej 10 km) (liczony w obie strony)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;1,5 zł/km;1-3 dni;GRATIS;
Serwis Ploterów;Dojazd;;Dostarczenie naprawionego urządzenia (Wrocław do 10 km, obie strony);Serwis i konserwacja ploterów wielkoformatowych.;<p>Dostarczenie naprawionego urządzenia (Wrocław do 10 km, obie strony)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;1,5 zł/km;1-3 dni;GRATIS;
Serwis Ploterów;Dojazd;;Usługi w trybie ekspresowym (do 24 godzin);Serwis i konserwacja ploterów wielkoformatowych.;<p>Usługi w trybie ekspresowym (do 24 godzin)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;+ 100% do ceny;24 h;GRATIS;
Serwis Ploterów;Czyszczenie i konserwacja (bez naprawy);;PODSTAWOWY do 30 min. (przegląd i profilaktyka, zmniejsza ryzyko awarii i stresu) (czyszczenie zewnętrzne i wewnętrzne drukarki, czyszczenie i konserwacja karetek, sprawdzenie głowicy, czyszczenie rolek pobierania papieru, kontrola elementów mechanicznych, test jakości wydruku);Serwis i konserwacja ploterów wielkoformatowych.;<p>PODSTAWOWY do 30 min. (przegląd i profilaktyka, zmniejsza ryzyko awarii i stresu) (czyszczenie zewnętrzne i wewnętrzne drukarki, czyszczenie i konserwacja karetek, sprawdzenie głowicy, czyszczenie rolek pobierania papieru, kontrola elementów mechanicznych, test jakości wydruku)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;50 / 100 / 150;1-3 dni;;
Serwis Ploterów;Czyszczenie i konserwacja (bez naprawy);;STANDARD do 1 godziny (standardowa konserwacja) (Zakres PODSTAWOWY + Czyszczenie czujników papieru, Czyszczenie stacji serwisowej);Serwis i konserwacja ploterów wielkoformatowych.;<p>STANDARD do 1 godziny (standardowa konserwacja) (Zakres PODSTAWOWY + Czyszczenie czujników papieru, Czyszczenie stacji serwisowej)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;100 / 150 / 200;1-3 dni;;
Serwis Ploterów;Czyszczenie i konserwacja (bez naprawy);;PREMIUM do 2 godzin (pełna konserwacja) (Zakres STANDARD + Udrożnienie układu tuszu, Czyszczenie pompy/pochłaniacza tuszu, reset liczników serwisowych);Serwis i konserwacja ploterów wielkoformatowych.;<p>PREMIUM do 2 godzin (pełna konserwacja) (Zakres STANDARD + Udrożnienie układu tuszu, Czyszczenie pompy/pochłaniacza tuszu, reset liczników serwisowych)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;150 / 200 / 250;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;"Czyszczenie lub wymiana rolki pobierającej / separatora (Usuwa zaciągnięcia, ""chwyta kilka kartek"")";Serwis i konserwacja ploterów wielkoformatowych.;"<p>Czyszczenie lub wymiana rolki pobierającej / separatora (Usuwa zaciągnięcia, ""chwyta kilka kartek"")</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>";80 / 120 / 160;1-2 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;"Czyszczenie czujników papieru (Usuwa fałszywe komunikaty ""brak papieru"")";Serwis i konserwacja ploterów wielkoformatowych.;"<p>Czyszczenie czujników papieru (Usuwa fałszywe komunikaty ""brak papieru"")</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>";80 / 130 / 170;1-2 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;Regulacja prowadnic i rolek rejestracji papieru (Wyrównuje tor papieru, zmniejsza zaciągnięcia);Serwis i konserwacja ploterów wielkoformatowych.;<p>Regulacja prowadnic i rolek rejestracji papieru (Wyrównuje tor papieru, zmniejsza zaciągnięcia)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;90 / 140 / 180;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;Naprawa mechanizmu poboru papieru (Usuwa poślizgi i blokady);Serwis i konserwacja ploterów wielkoformatowych.;<p>Naprawa mechanizmu poboru papieru (Usuwa poślizgi i blokady)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;100 / 150 / 200;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;Czyszczenie i smarowanie prowadnic karetki (Usuwa szarpanie i hałas);Serwis i konserwacja ploterów wielkoformatowych.;<p>Czyszczenie i smarowanie prowadnic karetki (Usuwa szarpanie i hałas)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;80 / 130 / 170;1-2 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;"Wymiana paska napędowego karetki (Usuwa ""zgrzytanie"")";Serwis i konserwacja ploterów wielkoformatowych.;"<p>Wymiana paska napędowego karetki (Usuwa ""zgrzytanie"")</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>";120 / 170 / 220;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;Czyszczenie / wymiana taśmy enkodera (Usuwa przesunięcia i cienie);Serwis i konserwacja ploterów wielkoformatowych.;<p>Czyszczenie / wymiana taśmy enkodera (Usuwa przesunięcia i cienie)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;100 / 150 / 200;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;Naprawa silnika karetki / mechanizmu przesuwu (Drukarka nie przesuwa głowicy);Serwis i konserwacja ploterów wielkoformatowych.;<p>Naprawa silnika karetki / mechanizmu przesuwu (Drukarka nie przesuwa głowicy)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;140 / 200 / 260;1-5 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Udrażnianie głowicy drukującej (Usuwa przerwy w druku);Serwis i konserwacja ploterów wielkoformatowych.;<p>Udrażnianie głowicy drukującej (Usuwa przerwy w druku)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;120 / 170 / 220;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Płukanie i odpowietrzanie układu tuszu (Zapobiega bąbelkom);Serwis i konserwacja ploterów wielkoformatowych.;<p>Płukanie i odpowietrzanie układu tuszu (Zapobiega bąbelkom)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;130 / 180 / 230;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Wymiana głowicy drukującej (Gdy udrażnianie nie pomaga);Serwis i konserwacja ploterów wielkoformatowych.;<p>Wymiana głowicy drukującej (Gdy udrażnianie nie pomaga)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;120 / 170 / 220;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Serwis stacji serwisowej (Czyści głowicę);Serwis i konserwacja ploterów wielkoformatowych.;<p>Serwis stacji serwisowej (Czyści głowicę)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;120 / 170 / 220;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Reset blokad serwisowych (Odblokowuje drukarkę);Serwis i konserwacja ploterów wielkoformatowych.;<p>Reset blokad serwisowych (Odblokowuje drukarkę)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;80 / 120 / 160;1 dzień;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;"Czyszczenie/wymiana pochłaniacza tuszu (""Pampersy - gąbki"")";Serwis i konserwacja ploterów wielkoformatowych.;"<p>Czyszczenie/wymiana pochłaniacza tuszu (""Pampersy - gąbki"")</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>";80 / 120 / 160;1-2 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa lub wymiana gniazda USB / LAN (Drukarka niewidoczna);Serwis i konserwacja ploterów wielkoformatowych.;<p>Naprawa lub wymiana gniazda USB / LAN (Drukarka niewidoczna)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;90 / 130 / 170;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Wymiana panelu sterowania (Uszkodzony wyświetlacz);Serwis i konserwacja ploterów wielkoformatowych.;<p>Wymiana panelu sterowania (Uszkodzony wyświetlacz)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;140 / 200 / 260;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa lub wymiana taśm sygnałowych (Brak komunikacji);Serwis i konserwacja ploterów wielkoformatowych.;<p>Naprawa lub wymiana taśm sygnałowych (Brak komunikacji)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;70 / 110 / 150;1-3 dni;;
Serwis Ploterów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa zasilacza (Drukarka się nie włącza);Serwis i konserwacja ploterów wielkoformatowych.;<p>Naprawa zasilacza (Drukarka się nie włącza)</p><br><p>Serwis i konserwacja ploterów wielkoformatowych.</p>;150 / 200 / 250;1-3 dni;;
